# time,atp
0.000000000000000000e+00,7.500000000000000000e-01
1.002087682672233859e-01,7.552467683709993551e-01
2.004175365344467719e-01,7.604926339777027255e-01
3.006263048016701855e-01,7.657366942111447639e-01
4.008350730688935437e-01,7.709780467729945297e-01
5.010438413361169019e-01,7.762157898308055248e-01
6.012526096033403711e-01,7.814490221731865693e-01
7.014613778705637293e-01,7.866768433648644310e-01
8.016701461377870874e-01,7.918983539016142270e-01
9.018789144050104456e-01,7.971126553650285107e-01
1.002087682672233804e+00,8.023188505771006174e-01
1.102296450939457273e+00,8.075160437545934045e-01
1.202505219206680742e+00,8.127033406631690715e-01
1.302713987473903989e+00,8.178798487712521936e-01
1.402922755741127459e+00,8.230446774035986568e-01
1.503131524008350706e+00,8.281969378945475135e-01
1.603340292275574175e+00,8.333357437409245616e-01
1.703549060542797644e+00,8.384602107545756633e-01
1.803757828810020891e+00,8.435694572145003844e-01
1.903966597077244360e+00,8.486626040185628606e-01
2.004175365344467608e+00,8.537387748347496919e-01
2.104384133611691077e+00,8.587970962519537732e-01
2.204592901878914546e+00,8.638366979302535276e-01
2.304801670146138015e+00,8.688567127506644505e-01
2.405010438413361484e+00,8.738562769643368755e-01
2.505219206680584509e+00,8.788345303411733145e-01
2.605427974947807979e+00,8.837906163178407271e-01
2.705636743215031448e+00,8.887236821451509616e-01
2.805845511482254917e+00,8.936328790347867201e-01
2.906054279749478386e+00,8.985173623053437364e-01
3.006263048016701411e+00,9.033762915276686289e-01
3.106471816283924881e+00,9.082088306694635627e-01
3.206680584551148350e+00,9.130141482391345154e-01
3.306889352818371819e+00,9.177914174288586135e-01
3.407098121085595288e+00,9.225398162568463345e-01
3.507306889352818313e+00,9.272585277087715960e-01
3.607515657620041782e+00,9.319467398783480849e-01
3.707724425887265252e+00,9.366036461070276209e-01
3.807933194154488721e+00,9.412284451227935778e-01
3.908141962421712190e+00,9.458203411780290448e-01
4.008350730688935215e+00,9.503785441864341932e-01
4.108559498956158684e+00,9.549022698589686442e-01
4.208768267223382153e+00,9.593907398387978569e-01
4.308977035490605623e+00,9.638431818352173330e-01
4.409185803757829092e+00,9.682588297565342117e-01
4.509394572025052561e+00,9.726369238418811625e-01
4.609603340292276030e+00,9.769767107919427040e-01
4.709812108559499499e+00,9.812774438985671921e-01
4.810020876826722969e+00,9.855383831732474897e-01
4.910229645093945550e+00,9.897587954744434535e-01
5.010438413361169019e+00,9.939379546337271387e-01
5.110647181628392488e+00,9.980751415807281868e-01
5.210855949895615957e+00,1.002169644466857523e+00
5.311064718162839426e+00,1.006220758787789382e+00
5.411273486430062896e+00,1.010227787504677899e+00
5.511482254697286365e+00,1.014190041164091838e+00
5.611691022964509834e+00,1.018106838016640925e+00
5.711899791231733303e+00,1.021977504134280679e+00
5.812108559498956772e+00,1.025801373526265658e+00
5.912317327766179353e+00,1.029577788253744686e+00
6.012526096033402823e+00,1.033306098542962737e+00
6.112734864300626292e+00,1.036985662897064397e+00
6.212943632567849761e+00,1.040615848206469130e+00
6.313152400835073230e+00,1.044196029857804575e+00
6.413361169102296699e+00,1.047725591841378368e+00
6.513569937369520169e+00,1.051203926857170678e+00
6.613778705636743638e+00,1.054630436419325079e+00
6.713987473903967107e+00,1.058004530959125056e+00
6.814196242171190576e+00,1.061325629926436864e+00
6.914405010438414045e+00,1.064593161889598294e+00
7.014613778705636626e+00,1.067806564633740241e+00
7.114822546972860096e+00,1.070965285257522215e+00
7.215031315240083565e+00,1.074068780268264911e+00
7.315240083507307034e+00,1.077116515675463848e+00
7.415448851774530503e+00,1.080107967082669429e+00
7.515657620041753972e+00,1.083042619777712767e+00
7.615866388308977442e+00,1.085919968821270398e+00
7.716075156576200911e+00,1.088739519133742562e+00
7.816283924843424380e+00,1.091500785580438837e+00
7.916492693110647849e+00,1.094203293055048487e+00
8.016701461377870430e+00,1.096846576561390840e+00
8.116910229645094788e+00,1.099430181293420183e+00
8.217118997912317369e+00,1.101953662713481386e+00
8.317327766179541726e+00,1.104416586628798491e+00
8.417536534446764307e+00,1.106818529266180295e+00
8.517745302713988664e+00,1.109159077344936239e+00
8.617954070981211245e+00,1.111437828147987084e+00
8.718162839248433826e+00,1.113654389591153704e+00
8.818371607515658184e+00,1.115808380290623125e+00
8.918580375782880765e+00,1.117899429628567143e+00
9.018789144050105122e+00,1.119927177816912645e+00
9.118997912317327703e+00,1.121891275959246315e+00
9.219206680584552061e+00,1.123791386110846613e+00
9.319415448851774642e+00,1.125627181336830596e+00
9.419624217118998999e+00,1.127398345768406251e+00
9.519832985386221580e+00,1.129104574657223026e+00
9.620041753653445937e+00,1.130745574427804545e+00
9.720250521920668518e+00,1.132321062728063321e+00
9.820459290187891099e+00,1.133830768477881890e+00
9.920668058455115457e+00,1.135274431915755278e+00
1.002087682672233804e+01,1.136651804643485919e+00
1.012108559498956240e+01,1.137962649668923021e+00
1.022129436325678498e+01,1.139206741446739724e+00
1.032150313152400933e+01,1.140383865917240946e+00
1.042171189979123191e+01,1.141493820543194593e+00
1.052192066805845627e+01,1.142536414344680118e+00
1.062212943632567885e+01,1.143511467931948911e+00
1.072233820459290143e+01,1.144418813536290269e+00
1.082254697286012579e+01,1.145258295038897423e+00
1.092275574112734837e+01,1.146029767997730708e+00
1.102296450939457273e+01,1.146733099672369027e+00
1.112317327766179531e+01,1.147368169046849573e+00
1.122338204592901967e+01,1.147934866850491176e+00
1.132359081419624225e+01,1.148433095576693486e+00
1.142379958246346661e+01,1.148862769499716219e+00
1.152400835073068919e+01,1.149223814689427581e+00
1.162421711899791354e+01,1.149516169024025203e+00
1.172442588726513613e+01,1.149739782200725369e+00
1.182463465553235871e+01,1.149894615744417870e+00
1.192484342379958306e+01,1.149980643014286041e+00
1.202505219206680565e+01,1.149997849208389988e+00
1.212526096033403000e+01,1.149946231366214544e+00
1.222546972860125258e+01,1.149825798369178642e+00
1.232567849686847694e+01,1.149636570939105429e+00
1.242588726513569952e+01,1.149378581634659113e+00
1.252609603340292388e+01,1.149051874845741228e+00
1.262630480167014646e+01,1.148656506785854292e+00
1.272651356993737082e+01,1.148192545482427551e+00
1.282672233820459340e+01,1.147660070765115004e+00
1.292693110647181598e+01,1.147059174252056835e+00
1.302713987473904034e+01,1.146389959334117803e+00
1.312734864300626292e+01,1.145652541157096582e+00
1.322755741127348728e+01,1.144847046601913387e+00
1.332776617954070986e+01,1.143973614262780103e+00
1.342797494780793421e+01,1.143032394423352027e+00
1.352818371607515680e+01,1.142023549030871443e+00
1.362839248434238115e+01,1.140947251668300577e+00
1.372860125260960373e+01,1.139803687524457487e+00
1.382881002087682809e+01,1.138593053362150442e+00
1.392901878914405067e+01,1.137315557484323225e+00
1.402922755741127325e+01,1.135971419698214468e+00
1.412943632567849761e+01,1.134560871277537020e+00
1.422964509394572019e+01,1.133084154922684883e+00
1.432985386221294455e+01,1.131541524718974401e+00
1.443006263048016713e+01,1.129933246092925447e+00
1.453027139874739149e+01,1.128259595766592405e+00
1.463048016701461407e+01,1.126520861709950472e+00
1.473068893528183843e+01,1.124717343091347743e+00
1.483089770354906101e+01,1.122849350226029941e+00
1.493110647181628536e+01,1.120917204522747124e+00
1.503131524008350794e+01,1.118921238428451481e+00
1.513152400835073053e+01,1.116861795371097310e+00
1.523173277661795488e+01,1.114739229700548950e+00
1.533194154488517746e+01,1.112553906627611777e+00
1.543215031315240182e+01,1.110306202161194022e+00
1.553235908141962440e+01,1.107996503043609415e+00
1.563256784968684876e+01,1.105625206684034634e+00
1.573277661795407134e+01,1.103192721090129780e+00
1.583298538622129570e+01,1.100699464797837646e+00
1.593319415448851828e+01,1.098145866799368431e+00
1.603340292275574086e+01,1.095532366469387897e+00
1.613361169102296344e+01,1.092859413489418063e+00
1.623382045929018958e+01,1.090127467770463543e+00
1.633402922755741216e+01,1.087336999373880619e+00
1.643423799582463474e+01,1.084488488430496167e+00
1.653444676409185732e+01,1.081582425057996399e+00
1.663465553235908345e+01,1.078619309276597882e+00
1.673486430062630603e+01,1.075599650923011463e+00
1.683507306889352861e+01,1.072523969562722002e+00
1.693528183716075119e+01,1.069392794400587876e+00
1.703549060542797733e+01,1.066206664189788933e+00
1.713569937369519991e+01,1.062966127139125749e+00
1.723590814196242249e+01,1.059671740818695085e+00
1.733611691022964507e+01,1.056324072063953956e+00
1.743632567849686765e+01,1.052923696878189208e+00
1.753653444676409379e+01,1.049471200333409460e+00
1.763674321503131637e+01,1.045967176469677629e+00
1.773695198329853895e+01,1.042412228192899359e+00
1.783716075156576153e+01,1.038806967171086448e+00
1.793736951983298766e+01,1.035152013729112586e+00
1.803757828810021024e+01,1.031447996741980067e+00
1.813778705636743283e+01,1.027695553526614791e+00
1.823799582463465541e+01,1.023895329732207760e+00
1.833820459290187799e+01,1.020047979229126156e+00
1.843841336116910412e+01,1.016154163996405568e+00
1.853862212943632670e+01,1.012214554007850431e+00
1.863883089770354928e+01,1.008229827116758237e+00
1.873903966597077186e+01,1.004200668939284835e+00
1.883924843423799800e+01,1.000127772736480125e+00
1.893945720250522058e+01,9.960118392950016997e-01
1.903966597077244316e+01,9.918535768065391833e-01
1.913987473903966574e+01,9.876537007459602613e-01
1.924008350730689187e+01,9.834129337482062638e-01
1.934029227557411446e+01,9.791320054839556253e-01
1.944050104384133704e+01,9.748116525340736471e-01
1.954070981210855962e+01,9.704526182628780973e-01
1.964091858037578220e+01,9.660556526902338570e-01
1.974112734864300833e+01,9.616215123625039274e-01
1.984133611691023091e+01,9.571509602223777780e-01
1.994154488517745349e+01,9.526447654775980212e-01
2.004175365344467608e+01,9.481037034686100595e-01
2.014196242171190221e+01,9.435285555351561326e-01
2.024217118997912479e+01,9.389201088818379670e-01
2.034237995824634737e+01,9.342791564426681239e-01
2.044258872651356995e+01,9.296064967446375782e-01
2.054279749478079253e+01,9.249029337703209563e-01
2.064300626304801867e+01,9.201692768195415262e-01
2.074321503131524125e+01,9.154063403701234725e-01
2.084342379958246383e+01,9.106149439377505539e-01
2.094363256784968641e+01,9.057959119349603405e-01
2.104384133611691254e+01,9.009500735292943485e-01
2.114405010438413512e+01,8.960782625006322721e-01
2.124425887265135771e+01,8.911813170977282983e-01
2.134446764091858029e+01,8.862600798939829216e-01
2.144467640918580287e+01,8.813153976424691338e-01
2.154488517745302900e+01,8.763481211302379670e-01
2.164509394572025158e+01,8.713591050319322573e-01
2.174530271398747416e+01,8.663492077627302779e-01
2.184551148225469674e+01,8.613192913306452203e-01
2.194572025052192288e+01,8.562702211882081693e-01
2.204592901878914546e+01,8.512028660835572191e-01
2.214613778705636804e+01,8.461180979109593769e-01
2.224634655532359062e+01,8.410167915607917877e-01
2.234655532359081676e+01,8.358998247690071492e-01
2.244676409185803934e+01,8.307680779661101855e-01
2.254697286012526192e+01,8.256224341256689359e-01
2.264718162839248450e+01,8.204637786123896159e-01
2.274739039665970708e+01,8.152929990297803631e-01
2.284759916492693321e+01,8.101109850674287349e-01
2.294780793319415579e+01,8.049186283479221604e-01
2.304801670146137837e+01,7.997168222734318821e-01
2.314822546972860096e+01,7.945064618719956950e-01
2.324843423799582709e+01,7.892884436435171347e-01
2.334864300626304967e+01,7.840636654055134214e-01
2.344885177453027225e+01,7.788330261386360309e-01
2.354906054279749483e+01,7.735974258319905372e-01
2.364926931106471741e+01,7.683577653282847031e-01
2.374947807933194355e+01,7.631149461688272462e-01
2.384968684759916613e+01,7.578698704384090323e-01
2.394989561586638871e+01,7.526234406100884566e-01
2.405010438413361129e+01,7.473765593899115434e-01
2.415031315240083742e+01,7.421301295615908566e-01
2.425052192066806001e+01,7.368850538311727538e-01
2.435073068893528259e+01,7.316422346717154079e-01
2.445093945720250517e+01,7.264025741680095738e-01
2.455114822546973130e+01,7.211669738613640801e-01
2.465135699373695388e+01,7.159363345944866897e-01
2.475156576200417646e+01,7.107115563564829763e-01
2.485177453027139904e+01,7.054935381280044160e-01
2.495198329853862163e+01,7.002831777265682289e-01
2.505219206680584776e+01,6.950813716520776175e-01
2.515240083507307034e+01,6.898890149325709320e-01
2.525260960334029292e+01,6.847070009702197479e-01
2.535281837160751550e+01,6.795362213876106061e-01
2.545302713987474164e+01,6.743775658743310641e-01
2.555323590814196422e+01,6.692319220338895924e-01
2.565344467640918680e+01,6.641001752309927397e-01
2.575365344467640938e+01,6.589832084392082123e-01
2.585386221294363196e+01,6.538819020890407341e-01
2.595407098121085809e+01,6.487971339164426698e-01
2.605427974947808067e+01,6.437297788117917197e-01
2.615448851774530326e+01,6.386807086693548907e-01
2.625469728601252584e+01,6.336507922372698332e-01
2.635490605427975197e+01,6.286408949680677427e-01
2.645511482254697455e+01,6.236518788697620330e-01
2.655532359081419713e+01,6.186846023575309772e-01
2.665553235908141971e+01,6.137399201060170784e-01
2.675574112734864229e+01,6.088186829022718127e-01
2.685594989561586843e+01,6.039217374993675058e-01
2.695615866388309101e+01,5.990499264707053184e-01
2.705636743215031359e+01,5.942040880650397705e-01
2.715657620041753617e+01,5.893850560622495571e-01
2.725678496868476230e+01,5.845936596298764165e-01
2.735699373695198489e+01,5.798307231804583628e-01
2.745720250521920747e+01,5.750970662296791547e-01
2.755741127348643005e+01,5.703935032553625328e-01
2.765762004175365618e+01,5.657208435573317651e-01
2.775782881002087876e+01,5.610798911181618109e-01
2.785803757828810134e+01,5.564714444648435343e-01
2.795824634655532392e+01,5.518962965313900515e-01
2.805845511482254651e+01,5.473552345224022009e-01
2.815866388308977264e+01,5.428490397776223331e-01
2.825887265135699522e+01,5.383784876374961836e-01
2.835908141962421780e+01,5.339443473097662540e-01
2.845929018789144038e+01,5.295473817371220138e-01
2.855949895615866652e+01,5.251883474659261308e-01
2.865970772442588910e+01,5.208679945160442637e-01
2.875991649269311168e+01,5.165870662517935141e-01
2.886012526096033426e+01,5.123462992540397387e-01
2.896033402922755684e+01,5.081464231934609277e-01
2.906054279749478297e+01,5.039881607049981893e-01
2.916075156576200555e+01,4.998722272635198749e-01
2.926096033402922814e+01,4.957993310607150539e-01
2.936116910229645072e+01,4.917701728832418739e-01
2.946137787056367685e+01,4.877854459921494579e-01
2.956158663883089943e+01,4.838458360035945427e-01
2.966179540709812201e+01,4.799520207708740105e-01
2.976200417536534459e+01,4.761046702677923514e-01
2.986221294363257073e+01,4.723044464733854308e-01
2.996242171189979331e+01,4.685520032580199334e-01
3.006263048016701589e+01,4.648479862708876365e-01
3.016283924843423847e+01,4.611930328289138292e-01
3.026304801670146105e+01,4.575877718071008626e-01
3.036325678496868719e+01,4.540328235303222604e-01
3.046346555323590977e+01,4.505287996665904848e-01
3.056367432150313235e+01,4.470763031218109584e-01
3.066388308977035493e+01,4.436759279360462105e-01
3.076409185803758106e+01,4.403282591813049152e-01
3.086430062630480364e+01,4.370338728608742507e-01
3.096450939457202622e+01,4.337933358102110670e-01
3.106471816283924881e+01,4.306072055994120684e-01
3.116492693110647139e+01,4.274760304372780539e-01
3.126513569937369752e+01,4.244003490769883702e-01
3.136534446764092010e+01,4.213806907234022847e-01
3.146555323590814268e+01,4.184175749420036561e-01
3.156576200417536526e+01,4.155115115695040551e-01
3.166597077244259140e+01,4.126630006261192141e-01
3.176617954070981398e+01,4.098725322295362350e-01
3.186638830897703656e+01,4.071405865105819366e-01
3.196659707724425914e+01,4.044676335306120474e-01
3.206680584551148172e+01,4.018541332006316247e-01
3.216701461377870430e+01,3.993005352021624654e-01
3.226722338204592688e+01,3.968072789098702757e-01
3.236743215031315657e+01,3.943747933159653662e-01
3.246764091858037915e+01,3.920034969563903626e-01
3.256784968684760173e+01,3.896937978388059221e-01
3.266805845511482431e+01,3.874460933723882228e-01
3.276826722338204689e+01,3.852607702994511607e-01
3.286847599164926947e+01,3.831382046289028009e-01
3.296868475991649206e+01,3.810787615715485743e-01
3.306889352818371464e+01,3.790827954772531538e-01
3.316910229645093722e+01,3.771506497739702812e-01
3.326931106471816690e+01,3.752826569086522013e-01
3.336951983298538948e+01,3.734791382900494727e-01
3.346972860125261207e+01,3.717404042334075398e-01
3.356993736951983465e+01,3.700667539070744416e-01
3.367014613778705723e+01,3.684584752810255992e-01
3.377035490605427981e+01,3.669158450773151170e-01
3.387056367432150239e+01,3.654391287224630358e-01
3.397077244258872497e+01,3.640285803017854760e-01
3.407098121085595466e+01,3.626844425156766638e-01
3.417118997912317724e+01,3.614069466378495021e-01
3.427139874739039982e+01,3.601963124755425127e-01
3.437160751565762240e+01,3.590527483316994783e-01
3.447181628392484498e+01,3.579764509691287788e-01
3.457202505219206756e+01,3.569676055766479172e-01
3.467223382045929014e+01,3.560263857372199525e-01
3.477244258872651272e+01,3.551529533980866682e-01
3.487265135699373531e+01,3.543474588429036398e-01
3.497286012526096499e+01,3.536100406658821971e-01
3.507306889352818757e+01,3.529408257479431099e-01
3.517327766179541015e+01,3.523399292348849965e-01
3.527348643006263273e+01,3.518074545175722823e-01
3.537369519832985532e+01,3.513434932141457634e-01
3.547390396659707790e+01,3.509481251542586056e-01
3.557411273486430048e+01,3.506214183653408867e-01
3.567432150313152306e+01,3.503634290608945712e-01
3.577453027139874564e+01,3.501742016308214134e-01
3.587473903966597533e+01,3.500537686337852894e-01
3.597494780793319791e+01,3.500021507916100671e-01
3.607515657620042049e+01,3.500193569857140696e-01
3.617536534446764307e+01,3.501053842555820750e-01
3.627557411273486565e+01,3.502602177992746313e-01
3.637578288100208823e+01,3.504838309759748527e-01
3.647599164926931081e+01,3.507761853105724748e-01
3.657620041753653339e+01,3.511372305002837257e-01
3.667640918580375597e+01,3.515669044233063478e-01
3.677661795407098566e+01,3.520651331495088798e-01
3.687682672233820824e+01,3.526318309531503714e-01
3.697703549060543082e+01,3.532669003276310282e-01
3.707724425887265340e+01,3.539702320022692361e-01
3.717745302713987599e+01,3.547417049611025219e-01
3.727766179540709857e+01,3.555811864637098418e-01
3.737787056367432115e+01,3.564885320680510894e-01
3.747807933194154373e+01,3.574635856553198821e-01
3.757828810020876631e+01,3.585061794568054072e-01
3.767849686847599600e+01,3.596161340827590536e-01
3.777870563674321858e+01,3.607932585532603320e-01
3.787891440501044116e+01,3.620373503310770902e-01
3.797912317327766374e+01,3.633481953565140810e-01
3.807933194154488632e+01,3.647255680842447223e-01
3.817954070981210890e+01,3.661692315221181104e-01
3.827974947807933148e+01,3.676789372719367344e-01
3.837995824634655406e+01,3.692544255721954549e-01
3.848016701461378375e+01,3.708954253427771963e-01
3.858037578288100633e+01,3.726016542315938040e-01
3.868058455114822891e+01,3.743728186631697374e-01
3.878079331941545149e+01,3.762086138891535536e-01
3.888100208768267407e+01,3.781087240407537409e-01
3.898121085594989665e+01,3.800728221830874110e-01
3.908141962421711924e+01,3.821005703714328572e-01
3.918162839248434182e+01,3.841916197093769858e-01
3.928183716075156440e+01,3.863456104088463516e-01
3.938204592901879408e+01,3.885621718520131385e-01
3.948225469728601666e+01,3.908409226550636495e-01
3.958246346555323925e+01,3.931814707338197601e-01
3.968267223382046183e+01,3.955834133712015088e-01
3.978288100208768441e+01,3.980463372865185034e-01
3.988308977035490699e+01,4.005698187065799276e-01
3.998329853862212957e+01,4.031534234386091042e-01
4.008350730688935215e+01,4.057967069449512909e-01
4.018371607515657473e+01,4.084992144195611630e-01
4.028392484342380442e+01,4.112604808662575495e-01
4.038413361169102700e+01,4.140800311787298793e-01
4.048434237995824958e+01,4.169573802222874548e-01
4.058455114822547216e+01,4.198920329173306265e-01
4.068475991649269474e+01,4.228834843245359298e-01
4.078496868475991732e+01,4.259312197317350335e-01
4.088517745302713990e+01,4.290347147424777297e-01
4.098538622129436249e+01,4.321934353662597039e-01
4.108559498956158507e+01,4.354068381104016505e-01
4.118580375782881475e+01,4.386743700735631357e-01
4.128601252609603733e+01,4.419954690408749443e-01
4.138622129436325991e+01,4.453695635806749764e-01
4.148643006263048250e+01,4.487960731428292660e-01
4.158663883089770508e+01,4.522744081586215215e-01
4.168684759916492766e+01,4.558039701421954804e-01
4.178705636743215024e+01,4.593841517935307039e-01
4.188726513569937282e+01,4.630143371029352140e-01
4.198747390396659540e+01,4.666939014570369859e-01
4.208768267223382509e+01,4.704222117462557584e-01
4.218789144050104767e+01,4.741986264737346191e-01
4.228810020876827025e+01,4.780224958657198764e-01
4.238830897703549283e+01,4.818931619833591862e-01
4.248851774530271541e+01,4.858099588359084953e-01
4.258872651356993799e+01,4.897722124953223233e-01
4.268893528183716057e+01,4.937792412122108399e-01
4.278914405010438315e+01,4.978303555331425878e-01
4.288935281837160574e+01,5.019248584192719242e-01
4.298956158663883542e+01,5.060620453662729723e-01
4.308977035490605800e+01,5.102412045255566575e-01
4.318997912317328058e+01,5.144616168267525103e-01
4.329018789144050317e+01,5.187225561014328079e-01
4.339039665970772575e+01,5.230232892080572960e-01
4.349060542797494833e+01,5.273630761581187265e-01
4.359081419624217091e+01,5.317411702434656773e-01
4.369102296450939349e+01,5.361568181647824449e-01
4.379123173277662318e+01,5.406092601612022541e-01
4.389144050104384576e+01,5.450977301410314668e-01
4.399164926931106834e+01,5.496214558135659178e-01
4.409185803757829092e+01,5.541796588219709552e-01
4.419206680584551350e+01,5.587715548772064222e-01
4.429227557411273608e+01,5.633963538929722681e-01
4.439248434237995866e+01,5.680532601216518040e-01
4.449269311064718124e+01,5.727414722912282929e-01
4.459290187891440382e+01,5.774601837431534435e-01
4.469311064718163351e+01,5.822085825711413865e-01
4.479331941544885609e+01,5.869858517608655957e-01
4.489352818371607867e+01,5.917911693305364373e-01
4.499373695198330125e+01,5.966237084723313711e-01
4.509394572025052383e+01,6.014826376946562636e-01
4.519415448851774642e+01,6.063671209652132799e-01
4.529436325678496900e+01,6.112763178548488163e-01
4.539457202505219158e+01,6.162093836821591619e-01
4.549478079331941416e+01,6.211654696588264635e-01
4.559498956158664384e+01,6.261437230356635686e-01
4.569519832985386643e+01,6.311432872493359936e-01
4.579540709812108901e+01,6.361633020697468055e-01
4.589561586638831159e+01,6.412029037480464488e-01
4.599582463465553417e+01,6.462612251652506412e-01
4.609603340292275675e+01,6.513373959814374725e-01
4.619624217118997933e+01,6.564305427854998376e-01
4.629645093945720191e+01,6.615397892454246698e-01
4.639665970772442449e+01,6.666642562590755494e-01
4.649686847599165418e+01,6.718030621054525975e-01
4.659707724425887676e+01,6.769553225964013432e-01
4.669728601252609934e+01,6.821201512287479174e-01
4.679749478079332192e+01,6.872966593368309285e-01
4.689770354906054450e+01,6.924839562454065955e-01
4.699791231732776708e+01,6.976811494228993826e-01
4.709812108559498967e+01,7.028873446349712673e-01
4.719832985386221225e+01,7.081016460983855509e-01
4.729853862212943483e+01,7.133231566351353470e-01
4.739874739039666451e+01,7.185509778268135417e-01
4.749895615866388709e+01,7.237842101691944752e-01
4.759916492693110968e+01,7.290219532270055813e-01
4.769937369519833226e+01,7.342633057888552361e-01
4.779958246346555484e+01,7.395073660222972745e-01
4.789979123173277742e+01,7.447532316290006449e-01
4.800000000000000000e+01,7.499999999999998890e-01
